prompt_id,prompt_text,category,complexity
1,"A gentle stream flowing over smooth rocks in a forest",nature,medium
2,"Bustling city street with car horns and people talking",urban,high
3,"Rain pattering on a tin roof during a thunderstorm",weather,medium
4,"Crackling campfire with occasional pops and hisses",nature,low
5,"Wind chimes swaying in a light breeze on a porch",ambient,low
6,"Waves crashing on a rocky shoreline at sunset",nature,medium
7,"Orchestra warming up before a classical concert",music,high
8,"Children playing in a playground with laughter and shouts",human,medium
9,"Creaking floorboards in an old abandoned house",horror,medium
10,"Helicopter flying overhead gradually fading into distance",mechanical,medium
11,"Birds chirping in a spring morning garden",nature,medium
12,"Coffee shop ambience with quiet conversations and espresso machine",social,medium
13,"Typewriter keys clacking rapidly with occasional bell ring",mechanical,medium
14,"Thunder rumbling in the distance, slowly approaching",weather,medium
15,"Cat purring while sleeping on a windowsill",animals,low
16,"Sand crunching underfoot on a desert walk",nature,low
17,"Wind howling through a narrow mountain pass",weather,medium
18,"Submarine sonar pings in deep ocean waters",mechanical,medium
19,"Pages of a book being slowly turned in a quiet library",ambient,low
20,"Stadium crowd cheering after a goal or touchdown",social,high
21,"Glass breaking as it hits a hard floor",effects,low
22,"Grandfather clock ticking and chiming at midnight",mechanical,medium
23,"Rain forest ambience with exotic bird calls and insects",nature,high
24,"Busy restaurant with dishes clattering and background chatter",social,high
25,"Horse galloping across an open field",animals,medium
26,"Spaceship engine humming at a constant frequency",sci-fi,medium
27,"Train passing by with whistle blowing",transportation,medium
28,"Saxophone solo in a smoky jazz club",music,medium
29,"Whispering voices in an empty corridor",horror,medium
30,"Crackling radio static with occasional voice fragments",communication,medium
31,"Bubbling brook with birds singing in background",nature,medium
32,"Whale song echoing through ocean depths",animals,medium
33,"Laser gun battle with energy weapons firing",sci-fi,high
34,"Heartbeat monitor beeping steadily in hospital room",medical,low
35,"Creaky wooden ship rocking on gentle waves",historical,medium
36,"Howling wolf in a moonlit forest",animals,medium
37,"Typing on a mechanical keyboard with clicky switches",technology,low
38,"Old vinyl record with crackling and pops",vintage,low
39,"Sizzling food on a hot grill or pan",cooking,low
40,"Church bells ringing in a distant village",cultural,medium
41,"Morning alarm clock ringing persistently",everyday,low
42,"Helicopter blades whirring during takeoff",transportation,medium
43,"Ice cream truck melody playing down a suburban street",nostalgic,medium
44,"Wind rustling through autumn leaves",nature,medium
45,"Footsteps running on concrete in the rain",action,medium
46,"Computer server room with multiple fans humming",technology,medium
47,"Gentle rainfall on a tent in the wilderness",nature,medium
